championship,stage,teamA,teamB,score,time,status,platform
الدوري الإنجليزي,الأسبوع الأول,نوتينجهام فورست,برينتفورد,- - -,15:00,لم تبدأ,Not available
الدوري الإنجليزي,الأسبوع الأول,تشيلسي,كريستال بالاس,- - -,15:00,لم تبدأ,Not available
الدوري الإنجليزي,الأسبوع الأول,مانشستر يونايتد,أرسنال,- - -,17:30,لم تبدأ,Not available
الدوري الإسباني,الأسبوع الأول,سيلتا فيجو,خيتافي,- - -,18:00,لم تبدأ,Not available
الدوري الإسباني,الأسبوع الأول,إلتشي,ريال بيتيس,- - -,18:00,لم تبدأ,Not available
الدوري الإسباني,الأسبوع الأول,اسبانيول,اتلتيكو مدريد,- - -,18:00,لم تبدأ,Not available
الدوري الإسباني,الأسبوع الأول,مايوركا,برشلونة,- - -,18:00,لم تبدأ,Not available
الدوري الإسباني,الأسبوع الأول,جيرونا,رايو فاييكانو,- - -,18:00,لم تبدأ,Not available
الدوري الإسباني,الأسبوع الأول,أتلتيك بلباو,اشبيلية,- - -,18:00,لم تبدأ,Not available
الدوري الإسباني,الأسبوع الأول,ريال مدريد,أوساسونا,- - -,18:00,لم تبدأ,Not available
الدوري الإسباني,الأسبوع الأول,فياريال,ريال أوفييدو,- - -,18:00,لم تبدأ,Not available
الدوري الإسباني,الأسبوع الأول,فالنسيا,ريال سوسيداد,- - -,18:00,لم تبدأ,Not available
الدوري الإسباني,الأسبوع الأول,ألافيس,ليفانتي,- - -,18:00,لم تبدأ,Not available
